1000
10000
563,-581,899,-967
-488,-500,583,-923
-190,-476,-487,-798
-169,257,-399,583
-57,-89,351,524
-34,136,-286,-788
291,-375,433,826
-19,106,-542,-637
477,587,611,685
384,559,865,963
-528,-685,707,-979
305,-359,-870,-947
-348,400,-617,927
126,166,529,-570
101,348,-477,705
-261,-365,533,-648
-304,309,652,-900
-477,-647,745,-885
64,-344,-487,681
-264,504,726,938
130,354,-607,-767
-166,417,430,843
22,337,514,858
297,-300,-422,754
117,237,-382,527
-124,347,723,-828
-80,-181,-626,847
288,621,753,826
6,-754,-855,885
-44,384,546,-772
-187,-546,-788,831
-256,422,-823,989
442,-571,-809,-872
-369,458,763,-934
-52,220,-487,743
173,-789,833,956
-37,-161,-209,-220
-377,559,779,-846
69,303,429,-455
39,-584,-602,901
-109,-428,448,688
497,-612,647,858
-594,697,-786,-857
-314,646,-851,-931
151,219,-685,890
128,-164,-581,-898
382,429,540,-663
-32,-257,-382,-643
427,676,-719,870
501,533,911,-938
-334,407,859,986
-196,-371,505,611
387,837,959,980
-451,601,751,-876
-51,-327,449,749
132,615,652,-864
-186,277,-831,-869
24,-409,596,680
-13,309,771,-824
85,321,-456,-570
19,163,584,-884
-40,437,640,699
-43,-493,743,-820
-111,264,-944,-985
33,254,-332,-885
-104,378,-676,-842
25,-106,-637,-732
-227,-832,881,-905
-219,588,721,-999
-248,429,516,746
-577,597,891,-903
246,-379,890,896
-466,-476,710,813
106,175,-310,833
-517,600,668,-889
289,445,506,616
277,527,-572,971
414,767,779,-795
500,-624,-760,-969
-418,-542,661,671
18,-635,-687,957
243,265,466,508
262,435,533,980
31,-116,-492,-845
115,-450,513,-901
141,-412,-477,927
-122,262,506,-794
-90,197,-315,-867
-398,-409,431,-463
-111,-386,559,593
-514,-626,-746,-933
41,372,545,912
14,222,305,-858
-542,595,745,-810
-233,319,-413,958
633,-786,812,-894
63,137,377,398
-235,-428,-738,-905
166,-374,447,740
136,-652,766,-887
-142,703,925,952
-357,-658,676,-986
-126,-139,-299,-657
-120,403,-797,-821
-732,802,896,-921
-60,142,420,-762
-284,-551,-612,900
-116,-413,466,-623
54,135,249,-517
-389,394,778,905
370,411,659,-871
-196,530,-658
-30,-42,492,895
36,435,-658,671
-96,184,-681,967
66,-680,751,762
-16,295,512,649
198,-377,549,781
388,-483,-685,-905
